<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49662,2021-01-30,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 30 JAN","Dead",4,"Fine","True",210443,1,,Flat,1200,"Rating 74 Benchmark",""PICNIC IN THE BAR AT THE PARK" WITH THE OWNERS ASSOCIATION RATING 74",27500.00,12:25:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",356842,1,1,"Exuberant","4","g",59.00,4,1.11.13,0.34.04,2.70," 2 LEN","Stephen Marsh","Cambridge",3.60,0.00,1100.00,"Samantha Wynne",59.00,0.00,68,0,0,"Approved Plates, Lugging Bit, Nasal Strip, Nose Band, Tongue Tie",238456,"SAVABEEL (AUS) 2001",280092,"MERRILY (NZ) 2010",
49662,2021-01-30,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 30 JAN","Dead",4,"Fine","True",210443,1,,Flat,1200,"Rating 74 Benchmark",""PICNIC IN THE BAR AT THE PARK" WITH THE OWNERS ASSOCIATION RATING 74",27500.00,12:25:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",349027,2,4,"Final Savings","5","g",59.00,3,1.11.10,0.33.69,2.50," HEAD","John & Karen Parsons","Balcairn",6.90,0.00,1925.00,"Gosen Jogoo",59.00,0.00,68,0,0,"Approved Plates, Lugging Bit, Side Winkers",238456,"SAVABEEL (AUS) 2001",259778,"FINAL TOUCH (NZ) 2007",
49662,2021-01-30,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 30 JAN","Dead",4,"Fine","True",210443,1,,Flat,1200,"Rating 74 Benchmark",""PICNIC IN THE BAR AT THE PARK" WITH THE OWNERS ASSOCIATION RATING 74",27500.00,12:25:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",364888,3,5,"Rock Sensation","4","g",59.00,1,1.10.73,0.33.39,," 1 LEN","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",4.40,2.10,14850.00,"Kavish Chowdhoory",58.00,1.00,68,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit, Side Winkers",264625,"ROCK 'N' POP (AUS) 2008",268031,"COLD SNAP (NZ) 2008",
49662,2021-01-30,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 30 JAN","Dead",4,"Fine","True",210443,1,,Flat,1200,"Rating 74 Benchmark",""PICNIC IN THE BAR AT THE PARK" WITH THE OWNERS ASSOCIATION RATING 74",27500.00,12:25:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",368057,5,3,"Ripa Ruby","4","m",57.50,6,1.11.65,0.34.44,6.10," ","Daniel Champion & Kezia Murphy","Riccarton Park",3.30,0.00,550.00,"Tina Comignaghi",57.50,0.00,69,0,0,"Concussion Plates, Standard Bit, Tongue Tie",278350,"RED GIANT (USA) 2004",225833,"JESTER HIT (AUS) 2001",
49662,2021-01-30,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 30 JAN","Dead",4,"Fine","True",210443,1,,Flat,1200,"Rating 74 Benchmark",""PICNIC IN THE BAR AT THE PARK" WITH THE OWNERS ASSOCIATION RATING 74",27500.00,12:25:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",335559,6,2,"Benaud","6","g",55.50,2,1.10.87,0.33.09,1.00," 1 1/2 LEN","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",8.50,3.80,4125.00,"Wesley Papier",51.50,4.00,61,0,0,"Approved Plates, Lugging Bit",244799,"DUELLED (AUS) 2002",247838,"MAYA (NZ) 2005",
49662,2021-01-30,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 30 JAN","Dead",4,"Fine","True",210443,1,,Flat,1200,"Rating 74 Benchmark",""PICNIC IN THE BAR AT THE PARK" WITH THE OWNERS ASSOCIATION RATING 74",27500.00,12:25:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Dead",4,"Fine",343416,7,6,"Arnage","5","m",54.50,5,1.11.44,0.33.75,4.70," ","Jackie Burrows","Rolleston",7.80,0.00,550.00,"Kylie Williams",54.50,0.00,63,0,0,"Approved Plates, Lugging Bit",280637,"PER INCANTO (USA) 2004",279872,"MADLY BENTLEY (AUS) 2008",
49662,2021-01-30,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 30 JAN","Dead",4,"Fine","True",210446,2,,Flat,1100,"Rating 65 Benchmark*","RICCARTON PARK FUNCTION CENTRE - BOOK NOW FOR 2021 RATING 65",22500.00,13:00:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",359236,1,5,"Our Echo","4","g",59.00,2,1.04.06,0.33.63,0.20," 1 LEN","Danny Frye","Balcairn",5.80,1.90,3375.00,"Akshay Balloo",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Cheek Burrs",300392,"ECHOES OF HEAVEN (AUS) 2007",224457,"SAKURA CLUDEN (NZ) 2001",
49662,2021-01-30,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 30 JAN","Dead",4,"Fine","True",210446,2,,Flat,1100,"Rating 65 Benchmark*","RICCARTON PARK FUNCTION CENTRE - BOOK NOW FOR 2021 RATING 65",22500.00,13:00:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",356837,2,7,"Make Believe","4","m",57.00,1,1.04.02,0.33.96,," LONG HEAD","Robert Dennis","Woodlands",3.10,1.50,12150.00,"Krishna Mudhoo",57.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie (1st time)",211629,"PINS (AUS) 1996",280001,"DISNEYLAND (NZ) 2010",
49662,2021-01-30,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 30 JAN","Dead",4,"Fine","True",210446,2,,Flat,1100,"Rating 65 Benchmark*","RICCARTON PARK FUNCTION CENTRE - BOOK NOW FOR 2021 RATING 65",22500.00,13:00:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",367828,3,3,"Our Rosette","4","m",57.00,6,1.04.52,0.34.20,3.00," ","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",10.10,0.00,450.00,"Kavish Chowdhoory",56.00,1.00,63,0,0,"Approved Plates, Lugging Bit",313563,"HIGHLY RECOMMENDED (AUS) 2008",274262,"ELUSIVE ROSIE (NZ) 2009",
49662,2021-01-30,6,"Riccarton Park","Feature","Race","Riccarton Park - Canterbury JC","CANTERBURY JC 30 JAN","Dead",4,"Fine","True",210446,2,,Flat,1100,"Rating 65 Benchmark*","RICCARTON PARK FUNCTION CENTRE - BOOK NOW FOR 2021 RATING 65",22500.00,13:00:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",357570,4,1,"Madam Sequoia","4","m",56.50,10,1.06.03,0.35.23,13.10," ","Bevan & Robyn Wilson","Ashburton",11.90,0.00,450.00,"Terry Moseley",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",301937,"REDWOOD (GB) 2006",258274,"ROYAL GOVERNESS (NZ) 2007",
