<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49653,2021-01-16,6,"Wingatui","Feature","Race","Waikouaiti RC","WAIKOUAITI RC @ WINGATUI 16 JAN","Good",3,"Fine","Out 3m",210842,1,,Flat,1600,"MDN","HAMPDEN TAKEAWAYS & HARBOUR FISH LIMITED",10000.00,12:26:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",345376,1,5,"Swampman","5","g",58.50,4,1.38.71,0.37.47,1.90," NECK","Brian & Shane Anderton","Wingatui",4.90,0.00,400.00,"Jacob Lowry",58.50,0.00,53,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",278260,"ROAD TO ROCK (AUS) 2004",243469,"IMPULSIVE RHYTHM (AUS) 1992",
49653,2021-01-16,6,"Wingatui","Feature","Race","Waikouaiti RC","WAIKOUAITI RC @ WINGATUI 16 JAN","Good",3,"Fine","Out 3m",210842,1,,Flat,1600,"MDN","HAMPDEN TAKEAWAYS & HARBOUR FISH LIMITED",10000.00,12:26:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",364787,2,2,"Poppa","4","g",58.50,3,1.38.70,0.36.73,1.80," NOSE","Brian & Shane Anderton","Wingatui",13.20,4.20,700.00,"Terry Moseley",58.50,0.00,52,0,0,"Approved Plates, Standard Bit, Blinkers",337555,"PROISIR (AUS) 2009",220535,"BLAZING VITAL (NZ) 2001",
49653,2021-01-16,6,"Wingatui","Feature","Race","Waikouaiti RC","WAIKOUAITI RC @ WINGATUI 16 JAN","Good",3,"Fine","Out 3m",210842,1,,Flat,1600,"MDN","HAMPDEN TAKEAWAYS & HARBOUR FISH LIMITED",10000.00,12:26:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",361860,3,11,"Final Lot","4","g",58.50,9,1.39.32,0.37.43,6.10," ","John & Karen Parsons","Balcairn",44.00,0.00,200.00,"Krishna Mudhoo",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",313563,"HIGHLY RECOMMENDED (AUS) 2008",232198,"LOTS AND LOTS (NZ) 2002",
49653,2021-01-16,6,"Wingatui","Feature","Race","Waikouaiti RC","WAIKOUAITI RC @ WINGATUI 16 JAN","Good",3,"Fine","Out 3m",210842,1,,Flat,1600,"MDN","HAMPDEN TAKEAWAYS & HARBOUR FISH LIMITED",10000.00,12:26:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",359434,4,9,"Hatitimatangi","4","g",58.50,14,1.46.97,0.46.03,57.30," ","Jim Curran","Ascot Park",61.50,0.00,200.00,"Kylie Williams",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",255627,"GALLANT GURU (AUS) 2002",242993,"JUST RHYTHM (NZ) 2004",
49653,2021-01-16,6,"Wingatui","Feature","Race","Waikouaiti RC","WAIKOUAITI RC @ WINGATUI 16 JAN","Good",3,"Fine","Out 3m",210842,1,,Flat,1600,"MDN","HAMPDEN TAKEAWAYS & HARBOUR FISH LIMITED",10000.00,12:26:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",368865,5,3,"Tappy's Lad","3","g",57.00,8,1.39.21,0.38.08,5.30," ","Kerry & Ian Taplin","Isla Bank",10.70,0.00,200.00,"Daniel Bothamley",57.50,-0.50,50,0,0,"Approved Plates, Lugging Bit",337555,"PROISIR (AUS) 2009",249984,"TAPINSKY (NZ) 2005",
49653,2021-01-16,6,"Wingatui","Feature","Race","Waikouaiti RC","WAIKOUAITI RC @ WINGATUI 16 JAN","Good",3,"Fine","Out 3m",210842,1,,Flat,1600,"MDN","HAMPDEN TAKEAWAYS & HARBOUR FISH LIMITED",10000.00,12:26:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",375193,6,13,"William John","3","g",57.00,10,1.39.53,0.37.79,7.60," ","Stephanie Clark","Timaru",16.50,0.00,200.00,"Gosen Jogoo",57.00,0.00,46,0,0,"Approved Plates, Lugging Bit, Side Winkers",338027,"GHIBELLINES (AUS) 2011",200118,"SUMTIME (NZ) 1998",
49653,2021-01-16,6,"Wingatui","Feature","Race","Waikouaiti RC","WAIKOUAITI RC @ WINGATUI 16 JAN","Good",3,"Fine","Out 3m",210842,1,,Flat,1600,"MDN","HAMPDEN TAKEAWAYS & HARBOUR FISH LIMITED",10000.00,12:26:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",361816,7,14,"Direct Flight","4","m",56.50,1,1.38.42,0.36.29,," 1 1/4 LEN","Brian & Shane Anderton","Wingatui",7.10,2.50,5400.00,"Courtney Barnes",56.50,0.00,54,0,0,"Approved Plates, Standard Bit, Blinkers",338027,"GHIBELLINES (AUS) 2011",292222,"PREFERRED FLIGHT (NZ) 2011",
49653,2021-01-16,6,"Wingatui","Feature","Race","Waikouaiti RC","WAIKOUAITI RC @ WINGATUI 16 JAN","Good",3,"Fine","Out 3m",210842,1,,Flat,1600,"MDN","HAMPDEN TAKEAWAYS & HARBOUR FISH LIMITED",10000.00,12:26:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",337337,8,8,"Raise Ya Cards","6","m",56.50,2,1.38.62,0.37.10,1.30," 1/2 LEN","Brian & Shane Anderton","Wingatui",13.60,3.50,1500.00,"Corey Campbell",55.50,1.00,53,0,0,"Ear Covers Pre-Race, Approved Plates, Norton Bit, Blinkers, Tongue Tie",277609,"RAISE THE FLAG (GB) 2005",200967,"YA YA (NZ) 1998",
49653,2021-01-16,6,"Wingatui","Feature","Race","Waikouaiti RC","WAIKOUAITI RC @ WINGATUI 16 JAN","Good",3,"Fine","Out 3m",210842,1,,Flat,1600,"MDN","HAMPDEN TAKEAWAYS & HARBOUR FISH LIMITED",10000.00,12:26:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",358611,9,7,"Clubcard","4","m",56.50,5,1.38.76,0.37.00,2.20," ","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",5.00,0.00,200.00,"Samantha Wynne",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers",300223,"ZACINTO (GB) 2006",222089,"VIVIANE (NZ) 2001",
49653,2021-01-16,6,"Wingatui","Feature","Race","Waikouaiti RC","WAIKOUAITI RC @ WINGATUI 16 JAN","Good",3,"Fine","Out 3m",210842,1,,Flat,1600,"MDN","HAMPDEN TAKEAWAYS & HARBOUR FISH LIMITED",10000.00,12:26:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",358571,10,10,"It's Gucci","4","m",56.50,13,1.40.16,0.38.01,12.00," ","Kelvin Tyler & Aimee Tyler","Riverton",32.60,0.00,200.00,"Lee Callaway",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers",287683,"RIP VAN WINKLE (IRE) 2006",286494,"HAYLEY'S MIST (AUS) 2006",
