MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49663,2021-01-31,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 31 JAN","Good",3,"Fine","True",209991,1,,Flat,1200,"Rating 74 Benchmark","MOUNT SHOP 1200",27500.00,13:27:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Fine",358768,1,1,"Burgundy Rose","4","m",61.50,2,1.10.40,0.34.50,0.20," 2 3/4 LEN","Jamie Richards","Matamata",3.90,1.40,4125.00,"Joe Kamaruddin",57.50,4.00,81,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers, Tongue Tie",268744,"BURGUNDY (NZ) 2008",241235,"PARAIBA (NZ) 2004",
49663,2021-01-31,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 31 JAN","Good",3,"Fine","True",209991,1,,Flat,1200,"Rating 74 Benchmark","MOUNT SHOP 1200",27500.00,13:27:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Fine",351209,3,2,"Summer Monsoon (AUS)","6","g",61.50,7,1.11.27,0.34.57,5.80," ","Jamie Richards","Matamata",7.70,0.00,550.00,"Opie Bosson",61.50,0.00,77,0,0,"Lugging Bit, Visor Blinkers, Nose Band, Tongue Tie",250799,"STRATUM (AUS) 2002",351210,"PRINCESS NARINE (AUS) 2006",
49663,2021-01-31,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 31 JAN","Good",3,"Fine","True",209991,1,,Flat,1200,"Rating 74 Benchmark","MOUNT SHOP 1200",27500.00,13:27:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Fine",358767,5,8,"Aotea Lad","4","g",60.50,8,1.11.32,0.34.42,6.10," ","Jamie Richards","Matamata",12.80,0.00,550.00,"Masa Hashizume",58.50,2.00,75,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band, Tongue Tie",238456,"SAVABEEL (AUS) 2001",252347,"CORSAGE (NZ) 2006",
49663,2021-01-31,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 31 JAN","Good",3,"Fine","True",209991,1,,Flat,1200,"Rating 74 Benchmark","MOUNT SHOP 1200",27500.00,13:27:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Fine",319882,6,9,"Breezon","7","g",60.50,6,1.11.15,0.34.55,5.00," ","Stephen McKee","Ardmore",27.70,0.00,550.00,"Tegan Newman",58.50,2.00,75,0,0,"Approved Plates, Lugging Bit, Blinkers",172521,"O'REILLY (NZ) 1993",224804,"BREEZY (NZ) 2001",
49663,2021-01-31,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 31 JAN","Good",3,"Fine","True",209991,1,,Flat,1200,"Rating 74 Benchmark","MOUNT SHOP 1200",27500.00,13:27:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Fine",357529,7,4,"Ripped","4","g",58.00,3,1.10.81,0.33.83,3.00," SHORT NECK","Richard Collett","Pukekohe Park",3.50,1.30,1925.00,"Andrew Calder",58.00,0.00,70,0,0,"Approved Plates, Lugging Bit, Nose Band",287683,"RIP VAN WINKLE (IRE) 2006",253051,"SHE'S GOT SPUNK (NZ) 2006",
49663,2021-01-31,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 31 JAN","Good",3,"Fine","True",209991,1,,Flat,1200,"Rating 74 Benchmark","MOUNT SHOP 1200",27500.00,13:27:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Fine",331169,8,6,"Blood Warrior","6","g",57.00,5,1.10.96,0.34.94,3.70," 1 1/4 LEN","Mark Blackie","Tauranga",32.30,0.00,550.00,"Lynsey Satherley",57.00,0.00,68,0,0,"Approved Plates, Lugging Bit",287689,"MAKFI (GB) 2007",252267,"KHAGAN (NZ) 2006",
49663,2021-01-31,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 31 JAN","Good",3,"Fine","True",209991,1,,Flat,1200,"Rating 74 Benchmark","MOUNT SHOP 1200",27500.00,13:27:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Fine",361541,11,11,"Roch 'N' Horse","4","m",55.00,9,1.11.38,0.35.24,6.50," ","Michael Moroney & Pam Gerard","Matamata",7.30,0.00,550.00,"Lisa Allpress",55.00,0.00,68,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",280637,"PER INCANTO (USA) 2004",281021,"ROCHFORT (NZ) 2010",
49663,2021-01-31,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 31 JAN","Good",3,"Fine","True",209991,1,,Flat,1200,"Rating 74 Benchmark","MOUNT SHOP 1200",27500.00,13:27:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Fine",367718,12,10,"Tears Of Jupiter (AUS)","4","m",55.00,4,1.10.86,0.34.52,3.20," 1/2 LEN","Peter & Dawn Williams","Byerley Park",16.50,0.00,1100.00,"Ashvin Goindasamy",54.00,1.00,68,0,0,"Approved Plates, Lugging Bit, Blinkers, Bandages",336540,"ZOUSTAR (AUS) 2010",367719,"SNOW BLITZ (AUS) 2007",
49663,2021-01-31,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 31 JAN","Good",3,"Fine","True",209991,1,,Flat,1200,"Rating 74 Benchmark","MOUNT SHOP 1200",27500.00,13:27:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Fine",303033,14,5,"The Dom","8","g",54.00,1,1.10.36,0.34.18,," HEAD","M, M F & M L Rogers","Pukekohe Park",48.80,7.80,14850.00,"Kozzi Asano",53.00,1.00,58,0,0,"Approved Plates, Lugging Bit, Side Winkers, Nasal Strip (1st time), Tongue Tie",285139,"SWISS ACE (AUS) 2004",238941,"JOIYA (AUS) 2004",
49663,2021-01-31,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 31 JAN","Good",3,"Fine","True",209991,1,,Flat,1200,"Rating 74 Benchmark","MOUNT SHOP 1200",27500.00,13:27:00,"N",54.00,"Unrestricted","Rating 74","unrestricted","hcp","Good",3,"Fine",412169,16,3,"Duneagle (AUS)","4","g",56.50,10,1.11.75,0.35.21,8.80," ","Shaune Ritchie & Colm Murray","Cambridge",6.60,0.00,550.00,"Michael McNab",56.50,0.00,67,0,0,"Approved Plates, Lugging Bit",344095,"DISSIDENT (AUS) 2010",412170,"CERTITUDE (AUS) 2010",
