MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49657,2021-01-23,4,"Trentham","Feature","Race","Wellington RC","WELLINGTON RC 23 JAN","Dead",4,"Overcast","True",210226,1,,Flat,1200,"MDN","INVERCARGILL WORKINGMEN'S CLUB 1200",10000.00,12:11:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Overcast",351813,1,11,"Retzena","5","g",58.50,3,1.09.79,0.34.04,0.60," 1 LEN","Niall Quinn","Wanganui",8.00,2.50,700.00,"Temyia Taiaroa",55.50,3.00,54,0,0,"Approved Plates, Lugging Bit, Blinkers - 1 cup O/S",268744,"BURGUNDY (NZ) 2008",270418,"ZENA'S CAT (NZ) 2008",
49657,2021-01-23,4,"Trentham","Feature","Race","Wellington RC","WELLINGTON RC 23 JAN","Dead",4,"Overcast","True",210226,1,,Flat,1200,"MDN","INVERCARGILL WORKINGMEN'S CLUB 1200",10000.00,12:11:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Overcast",329151,2,2,"Temp De Jeu","6","g",58.50,12,1.11.24,0.34.33,10.20," ","Kevin Myers","Wanganui",58.40,0.00,200.00,"Sam O'Malley",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",236672,"METTRE EN JEU (NZ) 2003",268748,"HALABY PRINCESS (NZ) 2008",
49657,2021-01-23,4,"Trentham","Feature","Race","Wellington RC","WELLINGTON RC 23 JAN","Dead",4,"Overcast","True",210226,1,,Flat,1200,"MDN","INVERCARGILL WORKINGMEN'S CLUB 1200",10000.00,12:11:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Overcast",380660,3,8,"Bradman","3","g",57.00,2,1.09.71,0.33.58,0.10," 1/2 LEN","Roydon Bergerson","Awapuni",4.90,1.90,1500.00,"Jonathan Riddell",57.00,0.00,53,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nose Band",211629,"PINS (AUS) 1996",325978,"BAGGY GREEN (AUS) 2008",
49657,2021-01-23,4,"Trentham","Feature","Race","Wellington RC","WELLINGTON RC 23 JAN","Dead",4,"Overcast","True",210226,1,,Flat,1200,"MDN","INVERCARGILL WORKINGMEN'S CLUB 1200",10000.00,12:11:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Overcast",371008,4,1,"Gee String","3","g",57.00,8,1.10.78,0.34.75,7.20," ","Shane Brown","Woodville",5.30,0.00,200.00,"Kate Hercock",57.00,0.00,52,0,0,"Approved Plates, Lugging Bit, Visor Blinkers (1st time)",313448,"NIAGARA (AUS) 2008",240469,"GEE BABY (NZ) 2001",
49657,2021-01-23,4,"Trentham","Feature","Race","Wellington RC","WELLINGTON RC 23 JAN","Dead",4,"Overcast","True",210226,1,,Flat,1200,"MDN","INVERCARGILL WORKINGMEN'S CLUB 1200",10000.00,12:11:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Overcast",380964,5,10,"Flickering Shadow (AUS)","4","m",56.50,5,1.10.51,0.34.64,5.40," 3/4 LEN","Lisa Latta","Awapuni",21.60,0.00,200.00,"Ryan Elliot",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit",345678,"DEEP FIELD (AUS) 2010",258084,"DARK DELILAH (NZ) 2007",
49657,2021-01-23,4,"Trentham","Feature","Race","Wellington RC","WELLINGTON RC 23 JAN","Dead",4,"Overcast","True",210226,1,,Flat,1200,"MDN","INVERCARGILL WORKINGMEN'S CLUB 1200",10000.00,12:11:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Overcast",361278,6,4,"Irish Odds","4","m",56.50,1,1.09.70,0.33.12,," 1/2 HEAD","Roydon Bergerson","Awapuni",6.50,2.00,5400.00,"Hazel Schofer",56.00,0.50,50,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nasal Strip",280637,"PER INCANTO (USA) 2004",268413,"IRISH DREAM (NZ) 2008",
49657,2021-01-23,4,"Trentham","Feature","Race","Wellington RC","WELLINGTON RC 23 JAN","Dead",4,"Overcast","True",210226,1,,Flat,1200,"MDN","INVERCARGILL WORKINGMEN'S CLUB 1200",10000.00,12:11:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Overcast",358604,7,13,"Drop The Beat","4","m",56.50,6,1.10.63,0.34.34,6.20," ","Janelle Millar","New Plymouth",64.70,0.00,200.00,"Chris Dell",56.50,0.00,48,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",337555,"PROISIR (AUS) 2009",284561,"SUPREME (NZ) 2010",
49657,2021-01-23,4,"Trentham","Feature","Race","Wellington RC","WELLINGTON RC 23 JAN","Dead",4,"Overcast","True",210226,1,,Flat,1200,"MDN","INVERCARGILL WORKINGMEN'S CLUB 1200",10000.00,12:11:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Overcast",356338,8,12,"Almeraki","4","m",56.50,10,1.10.85,0.34.25,7.70," ","Deborah Parry","Awapuni",92.60,0.00,200.00,"Faye Lazet",52.50,4.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",241092,"ALAMOSA (NZ) 2004",260827,"FERRAN (NZ) 2007",
49657,2021-01-23,4,"Trentham","Feature","Race","Wellington RC","WELLINGTON RC 23 JAN","Dead",4,"Overcast","True",210226,1,,Flat,1200,"MDN","INVERCARGILL WORKINGMEN'S CLUB 1200",10000.00,12:11:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Overcast",332355,9,3,"Tennessee Rose","6","m",56.50,7,1.10.70,0.34.43,6.70," ","Karen Buttimore","Hawera",84.90,0.00,200.00,"Bridie Ansell",53.50,3.00,45,0,0,"Approved Plates, Lugging Bit",287687,"SHOWCASING (GB) 2007",271306,"SAVANNAH RAIN (AUS) 1997",
49657,2021-01-23,4,"Trentham","Feature","Race","Wellington RC","WELLINGTON RC 23 JAN","Dead",4,"Overcast","True",210226,1,,Flat,1200,"MDN","INVERCARGILL WORKINGMEN'S CLUB 1200",10000.00,12:11:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Overcast",377848,10,6,"Winkle Bay","3","f",55.00,9,1.10.84,0.34.03,7.60," ","Robbie Patterson","New Plymouth",3.60,0.00,200.00,"Mereana Hudson",52.00,3.00,52,0,0,"Approved Plates, Lugging Bit, Nose Band",287683,"RIP VAN WINKLE (IRE) 2006",258716,"COVENTINA (NZ) 2007",
