MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49645,2021-01-07,2,"Ruakaka","Industry","Race","Whangarei RC","WHANGAREI RC 7 JAN","Good",3,"Fine","True",208743,1,,Flat,1400,"MDN","FELL ENGINEERING",10000.00,12:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",351091,1,2,"Oceana Lad","5","g",58.50,2,1.23.59,0.35.03,2.50," 2 LEN","Nick Smith","Cambridge",3.10,1.30,1500.00,"Kozzi Asano",57.50,1.00,53,0,0,"Approved Plates, Lugging Bit, Nose Band",265282,"OCEAN PARK (NZ) 2008",264199,"EXCUSE O' (NZ) 2008",
49645,2021-01-07,2,"Ruakaka","Industry","Race","Whangarei RC","WHANGAREI RC 7 JAN","Good",3,"Fine","True",208743,1,,Flat,1400,"MDN","FELL ENGINEERING",10000.00,12:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",350134,3,9,"War Command","5","g",58.50,5,1.24.21,0.35.84,6.50," 3/4 LEN","Shaun & Emma Clotworthy","Byerley Park",10.30,0.00,200.00,"Masa Hashizume",56.50,2.00,49,0,0,"Approved Plates, Lugging Bit, Visor Blinkers on, Barrier Blanket, Nasal Strip (1st time)",238456,"SAVABEEL (AUS) 2001",313761,"RIVIERE (AUS) 2007",
49645,2021-01-07,2,"Ruakaka","Industry","Race","Whangarei RC","WHANGAREI RC 7 JAN","Good",3,"Fine","True",208743,1,,Flat,1400,"MDN","FELL ENGINEERING",10000.00,12:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",397659,5,11,"Canadian Mountie (AUS)","3","g",57.00,8,1.24.53,0.35.96,8.70," ","Steven Cole","Byerley Park",14.60,0.00,200.00,"Ryan Elliot",57.00,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",353214,"VANCOUVER (AUS) 2012",397660,"REAL QUALITY (AUS) 2006",
49645,2021-01-07,2,"Ruakaka","Industry","Race","Whangarei RC","WHANGAREI RC 7 JAN","Good",3,"Fine","True",208743,1,,Flat,1400,"MDN","FELL ENGINEERING",10000.00,12:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",381769,7,4,"Shibuya Kosaten (AUS)","4","m",56.50,10,1.24.92,0.35.44,11.20," ","Stephen McKee","Ardmore",5.20,0.00,200.00,"Sam Spratt",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers",337159,"SIZZLING (AUS) 2009",263097,"GREAT CROSS (AUS) 2007",
49645,2021-01-07,2,"Ruakaka","Industry","Race","Whangarei RC","WHANGAREI RC 7 JAN","Good",3,"Fine","True",208743,1,,Flat,1400,"MDN","FELL ENGINEERING",10000.00,12:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",357449,8,8,"Rail Queen","4","m",56.50,7,1.24.51,0.35.39,8.50," ","Catherine Cameron","Cambridge",7.60,0.00,200.00,"Tegan Newman",54.50,2.00,51,0,0,"Approved Plates, Standard Bit, Nose Band, Tongue Tie",258606,"JIMMY CHOUX (NZ) 2007",325750,"TIARALAE (AUS) 2005",
49645,2021-01-07,2,"Ruakaka","Industry","Race","Whangarei RC","WHANGAREI RC 7 JAN","Good",3,"Fine","True",208743,1,,Flat,1400,"MDN","FELL ENGINEERING",10000.00,12:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",317774,9,10,"Rusalka","7","m",56.50,4,1.24.18,0.35.46,6.30," HEAD","Allan Smith","Ardmore Lodge",41.70,0.00,400.00,"Eilish McCall",53.50,3.00,51,0,0,"Approved Plates, Tongue Control Bit, Shadow Roll on",238456,"SAVABEEL (AUS) 2001",244989,"PASSCHENDAELE (NZ) 2005",
49645,2021-01-07,2,"Ruakaka","Industry","Race","Whangarei RC","WHANGAREI RC 7 JAN","Good",3,"Fine","True",208743,1,,Flat,1400,"MDN","FELL ENGINEERING",10000.00,12:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",322483,10,1,"Henley Road","7","m",56.50,9,1.24.87,0.35.95,10.90," ","Linda Laing","Cambridge",14.50,0.00,200.00,"Wiremu Pinn",54.50,2.00,47,0,0,"Approved Plates, Standard Bit, In Foal, Nose Band, Tongue Tie",287683,"RIP VAN WINKLE (IRE) 2006",220127,"RAADISI (NZ) 2001",
49645,2021-01-07,2,"Ruakaka","Industry","Race","Whangarei RC","WHANGAREI RC 7 JAN","Good",3,"Fine","True",208743,1,,Flat,1400,"MDN","FELL ENGINEERING",10000.00,12:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",352561,11,3,"Nouvelle Reine","4","m",56.50,6,1.24.34,0.35.18,7.30," ","Team Rogerson","Tuhikaramea",35.00,0.00,200.00,"Brandon May",56.50,0.00,46,0,0,"Approved Plates, Lugging Bit",244799,"DUELLED (AUS) 2002",207653,"DEAUTCHE EXPRESS (NZ) 1999",
49645,2021-01-07,2,"Ruakaka","Industry","Race","Whangarei RC","WHANGAREI RC 7 JAN","Good",3,"Fine","True",208743,1,,Flat,1400,"MDN","FELL ENGINEERING",10000.00,12:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",354091,12,6,"Castle Bay","4","m",56.50,3,1.23.93,0.35.01,4.50," 1 3/4 LEN","Wayne Larsen","Pukekohe Park",24.30,6.10,700.00,"Ashvin Goindasamy",55.50,1.00,45,0,0,"Approved Plates, Lugging Bit",250272,"CASTLEDALE (IRE) 2001",256718,"STRATEGIC BLONDE (NZ) 2006",
49645,2021-01-07,2,"Ruakaka","Industry","Race","Whangarei RC","WHANGAREI RC 7 JAN","Good",3,"Fine","True",208743,1,,Flat,1400,"MDN","FELL ENGINEERING",10000.00,12:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",363991,13,5,"Giuliana's Joy","4","m",56.50,11,1.25.75,0.36.39,16.50," ","Jenny & Bob Vance","Ardmore Lodge",38.30,0.00,200.00,"Darren Danis",54.50,2.00,45,0,0,"Approved Plates, Lugging Bit, Nose Band",287450,"SHOCKING (AUS) 2005",210206,"GIULIANA (NZ) 1999",
49645,2021-01-07,2,"Ruakaka","Industry","Race","Whangarei RC","WHANGAREI RC 7 JAN","Good",3,"Fine","True",208743,1,,Flat,1400,"MDN","FELL ENGINEERING",10000.00,12:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",390681,16,7,"Macs","3","g",57.00,1,1.23.19,0.34.91,," 2 1/2 LEN","Chris Gibbs","Ruakaka",5.20,1.90,5400.00,"Craig Grylls",57.00,0.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers on",313325,"POWER (GB) 2009",278760,"CLIO (NZ) 2009",
