<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49659,2021-01-25,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 25 JAN","Dead",4,"Fine","Out 4m",209986,1,,Flat,2000,"MDN","MATAMATA FUNCTION CENTRE 2000",10000.00,11:41:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",342949,1,11,"Louis le Grand","5","g",58.50,12,2.07.59,0.37.96,14.00," ","Mark Blackie","Tauranga",14.40,0.00,200.00,"Lynsey Satherley",58.50,0.00,53,0,0,"Approved Plates, Lugging Bit",245385,"SUN RULER (AUS) 2005",261553,"LADY GAGA (NZ) 2007",
49659,2021-01-25,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 25 JAN","Dead",4,"Fine","Out 4m",209986,1,,Flat,2000,"MDN","MATAMATA FUNCTION CENTRE 2000",10000.00,11:41:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",350989,2,4,"Camping (AUS)","5","g",58.50,6,2.06.11,0.36.72,5.10," ","Mark Forbes","Cambridge",12.90,0.00,200.00,"Kozzi Asano",57.50,1.00,51,0,0,"Approved Plates, Lugging Bit",328811,"CAMELOT (GB) 2009",270786,"PREVENTABLE (AUS) 2006",
49659,2021-01-25,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 25 JAN","Dead",4,"Fine","Out 4m",209986,1,,Flat,2000,"MDN","MATAMATA FUNCTION CENTRE 2000",10000.00,11:41:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",361391,4,10,"Veni Vici","4","g",58.50,10,2.07.06,0.38.29,10.70," ","John Bell","Cambridge",15.00,0.00,200.00,"Wiremu Pinn",56.50,2.00,51,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers",343959,"ADELAIDE (IRE) 2011",234438,"TERROIR (NZ) 2003",
49659,2021-01-25,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 25 JAN","Dead",4,"Fine","Out 4m",209986,1,,Flat,2000,"MDN","MATAMATA FUNCTION CENTRE 2000",10000.00,11:41:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",357348,5,6,"Parker Lewis","4","g",58.50,1,2.05.37,0.36.32,," SHORT HEAD","Chris Gibbs","Ruakaka",7.80,3.00,5400.00,"Ashvin Goindasamy",57.50,1.00,50,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Side Winkers",265282,"OCEAN PARK (NZ) 2008",266562,"TRILBY (NZ) 2008",
49659,2021-01-25,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 25 JAN","Dead",4,"Fine","Out 4m",209986,1,,Flat,2000,"MDN","MATAMATA FUNCTION CENTRE 2000",10000.00,11:41:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",347040,6,8,"Makaraka","5","g",58.50,11,2.07.58,0.38.72,14.00," ","Darryn Weatherley","Matamata",57.80,0.00,200.00,"Shaun McKay",58.50,0.00,48,0,0,"Approved Plates, Hoof Pads (Front), Lugging Bit",238720,"EKRAAR (USA) 1997",209585,"NINETY NINE (NZ) 1999",
49659,2021-01-25,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 25 JAN","Dead",4,"Fine","Out 4m",209986,1,,Flat,2000,"MDN","MATAMATA FUNCTION CENTRE 2000",10000.00,11:41:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",356280,7,12,"Mahomes","4","g",58.50,7,2.06.12,0.36.72,5.20," ","Ingrid Dornan","Cambridge",16.40,0.00,200.00,"Jonathan Riddell",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Tongue Tie",248656,"TAVISTOCK (NZ) 2005",288147,"ATMOS (AUS) 2007",
49659,2021-01-25,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 25 JAN","Dead",4,"Fine","Out 4m",209986,1,,Flat,2000,"MDN","MATAMATA FUNCTION CENTRE 2000",10000.00,11:41:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",327725,8,14,"Youknowhatimean","6","g",58.50,13,2.08.29,0.39.60,18.50," ","Davina Waddell","Avondale",52.60,0.00,200.00,"Trudy Thornton",58.50,0.00,45,0,0,"Approved Plates, Standard Bit",236729,"GORKY PARK (NZ) 2003",209353,"CAPEL LASS (NZ) 1999",
49659,2021-01-25,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 25 JAN","Dead",4,"Fine","Out 4m",209986,1,,Flat,2000,"MDN","MATAMATA FUNCTION CENTRE 2000",10000.00,11:41:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",357009,9,1,"Whanga Wonder","4","m",56.50,2=,2.05.40,0.36.16,0.10," 3 LEN","Debbie Sweeney","Te Awamutu",4.50,1.80,1100.00,"Sam Weatherley",56.50,0.00,54,0,0,"Approved Plates, Lugging Bit, Blinkers",337555,"PROISIR (AUS) 2009",253065,"LAMAZE (NZ) 2006",
49659,2021-01-25,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 25 JAN","Dead",4,"Fine","Out 4m",209986,1,,Flat,2000,"MDN","MATAMATA FUNCTION CENTRE 2000",10000.00,11:41:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",357359,10,15,"Spirit Of Gold","4","m",56.50,2=,2.05.40,0.36.58,0.10," DEAD HEAT","Jamie Richards","Matamata",4.70,1.90,1100.00,"Danielle Johnson",56.50,0.00,53,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nasal Strip (1st time), Nose Band, Tongue Tie",279438,"MEDAGLIA D'ORO (USA) 1999",270435,"FULL OF SPIRIT (AUS) 2008",
49659,2021-01-25,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 25 JAN","Dead",4,"Fine","Out 4m",209986,1,,Flat,2000,"MDN","MATAMATA FUNCTION CENTRE 2000",10000.00,11:41:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",362913,11,3,"Hail Damage","4","m",56.50,4,2.05.83,0.36.80,3.10," 1 3/4 LEN","Shaune Ritchie & Colm Murray","Cambridge",6.70,0.00,400.00,"Taiki Yanagida",55.50,1.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers",313564,"RELIABLE MAN (GB) 2008",207474,"BETTY BLOCKBUSTER (NZ) 1999",
49659,2021-01-25,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 25 JAN","Dead",4,"Fine","Out 4m",209986,1,,Flat,2000,"MDN","MATAMATA FUNCTION CENTRE 2000",10000.00,11:41:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",353726,12,5,"Morning Storm","4","m",56.50,8,2.06.91,0.37.64,9.80," ","Stephen Autridge & Kris Shailer","Matamata",14.90,0.00,200.00,"Craig Grylls",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Tongue Tie",301937,"REDWOOD (GB) 2006",234431,"PROUSTIAN (NZ) 2003",
